date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:52	29513/29513	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:30%20GMT	https://demo.web3canvas.com/themeforest/tomato/index.html	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/index.html	(from )
16:17:53	343/343	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Apr%202021%2014:17:54%20GMT	https://demo.web3canvas.com/robots.txt		(from )
16:17:53	7987/7987	---M-Z	200	added ('OK')	application/javascript	etag:%22ddf30241a1b0276dcf8d5a9a8fb64746%22	https://demo.web3canvas.com/cdn-cgi/apps/head/OkbNSnEV_PNHTKP2_EYPrFNyZ8Q.js	C:/My%20Web%20Sites/front/demo.web3canvas.com/cdn-cgi/apps/head/OkbNSnEV_PNHTKP2_EYPrFNyZ8Q.js	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:53	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-525644e0d3900%22	https://demo.web3canvas.com/themeforest/tomato/img/favicon.ico	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/img/favicon.ico	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:54	113498/113498	---MCZ	200	added ('OK')	text/css	etag:W/%221bb5a-5256448916a00%22	https://demo.web3canvas.com/themeforest/tomato/css/bootstrap.min.css	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/css/bootstrap.min.css	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:54	26678/26678	---MCZ	200	added ('OK')	text/css	etag:W/%227e3e-5256449c29700%22	https://demo.web3canvas.com/themeforest/tomato/css/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/css/font-awesome/css/font-awesome.css	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:55	107855/107855	---MCZ	200	added ('OK')	text/css	etag:W/%222225d-5350173d2fd80%22	https://demo.web3canvas.com/themeforest/tomato/css/plugin.css	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/css/plugin.css	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:55	93453/93453	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2011%20Apr%202021%2014:17:56%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/front/connect.facebook.net/en_US/fbevents.js	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:55	52251/52251	---MCZ	200	added ('OK')	text/css	etag:W/%2212325-52ed13ee83080%22	https://demo.web3canvas.com/themeforest/tomato/css/main.css	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/css/main.css	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:55	2274/2274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228e2-525644e4a4200%22	https://demo.web3canvas.com/themeforest/tomato/img/preloader.svg	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/img/preloader.svg	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
16:17:56	853/853	---M--	200	added ('OK')	image/png	etag:%22355-525644e4a4200%22	https://demo.web3canvas.com/themeforest/tomato/img/nav-logo.png	C:/My%20Web%20Sites/front/demo.web3canvas.com/themeforest/tomato/img/nav-logo.png	(from https://demo.web3canvas.com/themeforest/tomato/index.html)
